brand,model,type,id,price,
OPPO,Reno 6 Pro,8G/128G,IVZTDUEUS4BQJJHQ,4299
OPPO,A3,4G/128G,85PVTWU8KVI7INUW,1499
vivo,iQOO Neo5,12G/256G,95803209150068I,2999
OPPO,RMX,,A00000E51DAB2F,3100
Redmi,Redmi  K30,8G/128G,25518aa5,2499
HUAWEI,Mate40 Pro,,2FD0221303041019,6099
HONOR,HONOR 20S,6G/128G,WQCDU19815000556,1999
Apple,iPhone8,,FFMX8PHEJC6,2499
HONOR,HONOR 50Pro,8G/256G,A00000D0C7BF37,3699
Apple,iPhone 8 Plus,,FD2Y11SGJCLY,2999
HUAWEI,P20,,CLB0218502000656,3800
HONOR,HONOR 20,8G/256G,STSDU19703011512,2999
vivo,X21iA,,A000008515C37D,2000
HUAWEI,Nova7,,E6E0220723001011,3000
OPPO,A3,,KZYDZ9EYINKRGUS8,2000
RedMi,K40,12G/256G,73322793,2699
iPhone,iPhone8,4G/128G,F4GWPCBRJC6C,2499
HONOR,HONOR 9,,U8ENW18479,1599
HONOR,HONOR 10,6G/128G,9YE0218524003777,1999
HONOR,HONOR V20,,46HDU19801003573,1899
OPPO,Reno 5,8G 256G,cebe7bc3,2988
Redmi,Red MI K40,,41845ab5,2199
Mi,Redmi Note 10 Pro,8G/256G,4lda7lkj9hba7d7l,2099
